[[144, 48], [144, 96], [96, 48], [0, 48], [48, 144]];344.0274353695853;14393.214973449707;5;48
[[0, 96], [96, 96], [96, 192]];1807.3262945494894;682.5387704372406;3;48
[[96, 96], [192, 96], [96, 168]];1648.010116826298;788.5680420398712;3;24
[[96, 96], [192, 60], [72, 12]];1508.6925109573667;863.055330991745;3;12
[[48, 38], [88, 126], [180, 62]];1509.6348547447305;891.5660192966461;3;2
[[168, 36], [54, 78], [96, 162]];1503.4099429747769;914.7969930171967;3;6
[[0, 96], [96, 96], [96, 0], [192, 96]];1026.986641113382;1528.7110340595245;4;96
[[144, 96], [96, 144], [96, 24], [0, 96], [24, 96]];313.5319897181423;20885.10598731041;5;24
[[0, 192], [0, 96], [0, 0], [96, 96], [192, 96]];599.7874447293151;3970.814629793167;5;96
[[96, 144], [48, 96], [144, 144], [48, 48]];760.0283699312307;4458.522630691528;4;48
[[24, 144], [120, 96], [168, 48], [48, 48]];667.0609653038134;5001.636799812317;4;24
[[0, 48], [96, 96], [72, 192], [168, 108]];630.2607303376294;6026.787416219711;4;12
[[80, 72], [8, 112], [120, 118], [74, 188]];520.6154630502115;6620.092501878738;4;2
[[156, 72], [114, 126], [54, 18], [24, 150]];606.56351610503;6765.20197725296;4;6
[[50, 122], [144, 56], [176, 112], [74, 188], [90, 94]];301.5121643608214;27342.678207159042;5;2
[[24, 156], [108, 48], [132, 132], [180, 138], [84, 84]];300.54238414382195;28188.594873905182;5;6
[[72, 180], [36, 132], [144, 132], [108, 72], [36, 72]];301.55037378346134;29664.486206054688;5;12
[[48, 0], [96, 48], [48, 144], [48, 192], [192, 48]];389.97578124837423;14154.38669872284;5;48
[[72, 96], [24, 168], [120, 144], [48, 48], [192, 96]];292.8979979129989;23121.416845560074;5;24
[[12, 36], [156, 108], [84, 12], [84, 96], [120, 144]];244.85663175227447;27790.740282535553;5;12
[[110, 84], [184, 100], [42, 8], [188, 54], [64, 126]];308.99091197224226;28543.92343211174;5;2
[[186, 54], [96, 84], [144, 156], [84, 42], [48, 120]];310.2681804389167;30690.285222291946;5;6
